title,titre_original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,public,pays_d_origine,langue_d_origine
"
Blue & Compagnie ",IF,"3,3","3,5","Aventure,Comédie,Famille,Fantastique","
8 mai 2024
","
1h 44min
","Bea, une jeune fille, découvre un jour qu'elle peut voir les amis imaginaires de tout le monde. Commence alors une aventure magique pour reconnecter chaque enfant à son ami imaginaire oublié.","Cailey Fleming,Ryan Reynolds,John Krasinski",John Krasinski,Tout public, U.S.A.,"
Anglais"
"
The Fall Guy ",,"3,4","3,6","Action,Comédie,Drame","
1 mai 2024
","
2h 05min
","C'est l’histoire d’un cascadeur, et comme tous les cascadeurs, il se fait tirer dessus, exploser, écraser, jeter par les fenêtres et tombe toujours de plus en plus haut… pour le plus grand plaisir du public. Après un accident qui a failli mettre fin à sa carrière, ce héros anonyme du cinéma va devoir retrouver une star portée disparue, déjouer un complot et tenter de reconquérir la femme de sa vie tout en bravant la mort tous les jours sur les plateaux. Que pourrait-il lui arriver de pire ?","Ryan Gosling,Emily Blunt,Aaron Taylor-Johnson",David Leitch,Tout public, U.S.A.,"
-
"
"
Les Guetteurs ",The Watchers,"2,5","3,0","Fantastique,Epouvante-horreur,Thriller","
12 juin 2024
","
1h 42min
","Perdue dans une forêt, Mina trouve refuge dans une maison déjà occupée par trois personnes. Elle va alors découvrir les règles de ce lieu très secret : chaque nuit, les habitants doivent se laisser observer par les mystérieux occupants de cette forêt. Ils ne peuvent pas les voir, mais eux regardent tout.","Dakota Fanning,Georgina Campbell,Olwen Fouéré",Ishana Shyamalan,Interdit - 12 ans, U.S.A.,"
-
"
"
Les Dalton ",,"2,7","1,1","Comédie,Western","
8 décembre 2004
","
1h 26min
","Quand les Dalton, les bandits les plus foireux du ","Eric Judor,Ramzy Bedia,Saïd Serrari",Philippe Haïm,, France,"
-
"
"
Frères ",,"2,8","4,1",Drame,"
24 avril 2024
","
1h 46min
","L’histoire vraie de deux petits garçons de 5 et 7 ans qui, abandonnés par leur mère en 1948, s'enfuient dans la forêt. Ils vont y survivre pendant sept années et tisser un lien qui les unira à jamais. Des décennies plus tard, les deux frères quittent tout pour se retrouver. Mais le passé et les secrets les rattrapent, même à l'autre bout du monde.","Mathieu Kassovitz,Yvan Attal,Alma Jodorowsky",Olivier Casas,Tout public, France,"
Français"
"
Back To Black ",,"2,7","3,5","Biopic,Drame,Musical,Romance","
24 avril 2024
","
2h 02min
","Back to Black retrace la vie et la musique d'Amy Winehouse, à travers la création de l'un des albums les plus iconiques de notre temps, inspiré par son histoire d’amour passionnée et tourmentée avec Blake Fielder-Civil.","Marisa Abela,Jack O'Connell,Eddie Marsan",Sam Taylor-Johnson,Tout public, Grande-Bretagne,"
-
"
"
Le Tableau volé ",,"3,5","3,1",Comédie dramatique,"
1 mai 2024
","
1h 31min
","André Masson, commissaire-priseur dans la célèbre maison de ventes Scottie’s, reçoit un jour un courrier selon lequel une toile d’Egon Schiele aurait été découverte à Mulhouse chez un jeune ouvrier. Très sceptique, il se rend sur place et doit se rendre à l’évidence : le tableau est authentique, un chef-d'œuvre disparu depuis 1939, spolié par les nazis. André voit dans cet événement le sommet de sa carrière, mais c’est aussi le début d’un combat qui pourrait la mettre en péril. Heureusement, il va être aidé par son ex-épouse et collègue Bertina, et par sa fantasque stagiaire Aurore... ","Alex Lutz,Léa Drucker,Nora Hamzawi",Pascal Bonitzer,Tout public, France,"
-
"
"
Civil War ",,"3,7","3,7","Action,Thriller","
17 avril 2024
","
1h 49min
","Une course effrénée à travers une Amérique fracturée qui, dans un futur proche, est plus que jamais sur le fil du rasoir. ","Kirsten Dunst,Wagner Moura,Cailee Spaeny",Alex Garland,Interdit - 12 ans avec avertissement, U.S.A.,"
-
"
"
Love Lies Bleeding ",,"3,7","3,4","Romance,Thriller","
12 juin 2024
","
1h 44min
","Lou, gérante solitaire d'une salle de sport, tombe éperdument amoureuse de Jackie, une culturiste ambitieuse. Leur relation passionnée et explosive va les entraîner malgré elles dans une spirale de violence.","Kristen Stewart,Katy O'Brian,Jena Malone",Rose Glass,Interdit - 12 ans," Grande-Bretagne, U.S.A.","
Anglais"
"
HAIKYU!! La Guerre des Poubelles ",Gekijôban Haikyû!! Gomi Sutejô no Kessen,"3,0",,"Animation,Comédie,Drame","
12 juin 2024
","
1h 26min
","Shôyô Hinata entre au club de volley-ball du lycée Karasuno pour devenir comme son idole, un ancien joueur de Karasuno connu sous le nom de « petit géant ». Hinata découvre rapidement qu’il doit faire équipe avec son rival, Tobio Kageyama. Leurs styles que tout oppose se transforment en une arme surprenante, mais parviendront-ils à battre l’équipe rivale de Nekoma dans cette ultime confrontation ?","Ayumu Murase,Kaito Ishikawa,Kelyan Blanc",Susumu Mitsunaka,Tout public, Japon,"
Japonais"
"
La Nuit du 12 ",,"4,4","4,0","Policier,Thriller","
13 juillet 2022
","
1h 54min
","À la PJ chaque enquêteur tombe un jour ou l’autre sur un crime qu’il n’arrive pas à résoudre et qui le hante. Pour Yohan c’est le meurtre de Clara. Les interrogatoires se succèdent, les suspects ne manquent pas, et les doutes de Yohan ne cessent de grandir. Une seule chose est certaine, le crime a eu lieu la nuit du 12.","Bastien Bouillon,Bouli Lanners,Théo Cholbi",Dominik Moll,," France, Belgique","
Français"
"
En attendant la nuit ",,"3,2","3,1","Drame,Fantastique","
5 juin 2024
","
1h 44min
","Philémon est un adolescent pas comme les autres : pour survivre, il a besoin de sang humain. Dans la banlieue pavillonnaire un peu trop tranquille où il emménage avec sa famille, il fait tout pour se fondre dans le décor. Jusqu'au jour où il tombe amoureux de sa voisine Camila et attire l’attention sur eux…","Mathias Legoût Hammond,Céleste Brunnquell,Élodie Bouchez",Céline Rouzet,Tout public," Belgique, France",-
"
Survivre ",,"2,7","2,7","Action,Science Fiction,Thriller","
19 juin 2024
","
1h 30min
","Une catastrophe bouleverse la planète : les pôles magnétiques de la Terre se sont inversés. Les océans ont anéanti les continents, laissant derrière eux un vaste désert. Dans ce monde ravagé, une famille doit lutter pour sa survie. Quand les pôles s’inverseront à nouveau, il sera trop tard. ","Emilie Dequenne,Andreas Pietschmann,Lisa Delamar",Frédéric Jardin,Interdit - 12 ans, France,"
-
"
"
C'est pas moi ",,"3,7","3,5","Biopic,Drame","
12 juin 2024
","
0h 42min
","Pour une exposition qui n’a finalement pas eu lieu, le musée Pompidou avait demandé au cinéaste de répondre en images à la question : Où en êtes vous, Leos Carax ? Il tente une réponse, pleine d’interrogations. Sur lui, son monde. Je sais pas. Mais si je savais, je répondrais que…","Denis Lavant,Ekaterina Yuspina,Loreta Juodkaite",Leos Carax,, France,"
-
"
"
Les Trois Fantastiques ",,"3,7","3,7",Drame,"
15 mai 2024
","
1h 35min
","Max, Vivian et Tom, 13 ans, sont inséparables. Ce début d’été est plein de bouleversements : la dernière usine de leur petite ville des Ardennes ferme tandis que Seb, le grand frère de Max, sort de prison. Ses combines vont peu à peu entraîner les trois adolescents dans une chute qui paraît inéluctable…","Diego Murgia,Emmanuelle Bercot,Raphaël Quenard",Michaël Dichter,Tout public avec avertissement, France,"
-
"
"
Le Jour le plus long ",The Longest Day,"4,2",,"Action,Drame,Historique,Guerre","
25 septembre 1962
","
3h 02min
",L'évènement militaire qui va mettre fin à la seconde guerre mondiale: le débarquement en Normandie par l'armée américaine.,"Henry Fonda, Bourvil,Richard Burton",Ken Annakin,, U.S.A.,"
-
"
"
Maria ",,"3,2","3,5","Biopic,Drame","
19 juin 2024
","
1h 40min
",Maria n’est plus une enfant et pas encore une adulte lorsqu’elle enflamme la pellicule d’un film sulfureux devenu culte : ,"Anamaria Vartolomei,Matt Dillon,Yvan Attal",Jessica Palud,Tout public avec avertissement, France,"
-
"
