acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Jennifer Lopez,Simu Liu,Sterling K. Brown",24 mai 2024,"Brillante analyste de données, Atlas Shepherd est misanthrope et se méfie totalement de l’intelligence artificielle. Tandis qu’elle se lance dans une mission destinée à capturer un robot rebelle, elle comprend qu’elle a déjà eu affaire à cette mystérieuse machine par le passé. Alors que la mission ne se déroule pas comme prévu, il ne reste plus à Atlas qu’à faire enfin confiance à l’IA si elle veut sauver l’avenir de l’humanité...",118,"Action,Science Fiction,Thriller",-, U.S.A.,,Brad Peyton,"2,5",,"
Atlas ",
"Thomas Lemoine,Gaël Tavares,Pierre Lottin","
5 juin 2024
","Mathieu jeune acteur ambitieux galère pour boucler sa bande démo. Son pote Ousmane lui propose de tourner dans son clip de rap, mais le tournage ne va pas se passer comme prévu.",87,"Comédie,Drame","
Français", France,Tout public,Thomas Lemoine,"2,9","3,1","
La Gardav ",
"Zain Al Rafeea,Cedra Izam,Nadine Labaki","
17 octobre 2018
","À l'intérieur d'un tribunal, Zain, un garçon de 12 ans, est présenté devant le juge. À la question : "" Pourquoi attaquez-vous vos parents en justice ? "", Zain lui répond : "" Pour m'avoir donné la vie ! "". Capharnaüm retrace l'incroyable parcours de cet enfant en quête d'identité et qui se rebelle contre la vie qu'on cherche à lui imposer.",120,Drame,"
ARABIC"," Liban, France",,Nadine Labaki,"3,0","4,3","
Capharnaüm ",
"Sandra Hüller,Milo Machado-Graner,Swann Arlaud","
23 août 2023
","Sandra, Samuel et leur fils malvoyant de 11 ans, Daniel, vivent depuis un an loin de tout, à la montagne. Un jour, Samuel est retrouvé mort au pied de leur maison. Une enquête pour mort suspecte est ouverte. Sandra est bientôt inculpée malgré le doute : suicide ou homicide ? Un an plus tard, Daniel assiste au procès de sa mère, véritable dissection du couple.",151,"Policier,Drame,Judiciaire,Thriller","
-
", France,,Justine Triet,"4,4","3,4","
Anatomie d’une chute ",
"Charlotte Le Bon,Amy Poehler,Pierre Niney","
17 juin 2015
","Au Quartier Général, le centre de contrôle situé dans la tête de la petite Riley, 11 ans, cinq Émotions sont au travail. À leur tête, Joie, débordante d’optimisme et de bonne humeur, veille à ce que Riley soit heureuse. Peur se charge de la sécurité,  Colère s’assure que la justice règne, et Dégoût empêche Riley de se faire empoisonner la vie – au sens propre comme au figuré. Quant à Tristesse, elle n’est pas très sûre de son rôle. Les autres non plus, d’ailleurs… Lorsque la famille de Riley emménage dans une grande ville, avec tout ce que cela peut avoir d’effrayant, les Émotions ont fort à faire pour guider la jeune fille durant cette difficile transition. Mais quand Joie et Tristesse se perdent accidentellement dans les recoins les plus éloignés de l’esprit de Riley, emportant avec elles certains souvenirs essentiels, Peur, Colère et Dégoût sont bien obligés de prendre le relais. Joie et Tristesse vont devoir s’aventurer dans des endroits très inhabituels comme la Mémoire à long terme, le Pays de l’Imagination, la Pensée Abstraite, ou la Production des Rêves, pour tenter de retrouver le chemin du Quartier Général afin que Riley puisse passer ce cap et avancer dans la vie…",95,"Animation,Comédie,Famille","
-
", U.S.A.,Tout public,Pete Docter,"4,7","2,9","
Vice Versa ",Inside Out
"Céline Tran,Manuel Ferrara,Chris Raines","
25 avril 2007
","Sept court métrages au travers desquels des réalisateurs et des artistes, parmi les plus visionnaires et provocateurs de leur génération, font se rencontrer l'art et le sexe :",115,"Drame,Erotique","
Anglais"," U.S.A., Grande-Bretagne",Interdit - 18 ans,Cecily Brown,"2,6","1,8","
Destricted ",
"Magalie Lépine Blondeau,Pierre-Yves Cardinal,Francis-William Rhéaume","
8 novembre 2023
","Sophia est professeure de philosophie à Montréal et vit en couple avec Xavier depuis 10 ans. Sylvain est charpentier dans les Laurentides et doit rénover leur maison de campagne. Quand Sophia rencontre Sylvain pour la première fois, c’est le coup de foudre. Les opposés s'attirent, mais cela peut-il durer ?",110,"Comédie,Romance","
Français"," Canada, France",,Monia Chokri,"3,7","3,0","
Simple comme Sylvain ",
"Élodie Bouchez,Adèle Exarchopoulos,Leïla Bekhti","
29 mars 2023
","Depuis 2014, en France, la Justice Restaurative propose à des personnes victimes et auteurs d’infraction de dialoguer dans des dispositifs sécurisés, encadrés par des professionnels et des bénévoles comme Judith, Fanny ou Michel.",118,Drame,"
-
", France,,Jeanne Herry,"4,1","3,3","
Je verrai toujours vos visages ",
"Bruce Willis,Billy Bob Thornton,Ben Affleck","
5 août 1998
","Un astéroide se dirige vers la Terre à la vitesse de 35.000 kilomètres a l'heure. Harry S. Stamper, grand spécialiste du forage pétrolier, est recruté par le directeur de la NASA pour tenter de le détruire. Lui et son équipe de têtes brulées devront se poser sur l'astéroide et placer en son coeur une charge nucléaire. Débute alors l'entraînement indispensable des astronautes et l'apprentissage des outils spatiaux...",148,"Action,Science Fiction","
Anglais"," Russie, U.S.A.",,Michael Bay,"3,4",,"
Armageddon ",
"Mandy Moore,Claire Holt,Matthew Modine","
28 septembre 2017
","Après la rupture de Lisa, sa soeur Kate l'embarque en vacances au Mexique pour lui changer les idées. Avides d'aventures, elles se mettent au défi de plonger parmi les requins blancs, protégées par une cage. Une fois dans l'eau, le spectacle est incroyable...",101,"Epouvante-horreur,Thriller",-," Grande-Bretagne, U.S.A., République dominicaine",,Johannes Roberts,"2,6",,"
47 Meters Down ",
