acteurs,annee,description,duree,genre,langueOrigine,paysOrigine,public,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Mathieu Kassovitz,Yvan Attal,Alma Jodorowsky",24 avril 2024,"L’histoire vraie de deux petits garçons de 5 et 7 ans qui, abandonnés par leur mère en 1948, s'enfuient dans la forêt. Ils vont y survivre pendant sept années et tisser un lien qui les unira à jamais. Des décennies plus tard, les deux frères quittent tout pour se retrouver. Mais le passé et les secrets les rattrapent, même à l'autre bout du monde.",106,Drame,Français, France,Tout public,Olivier Casas,"2,8","4,1",Frères,
"Jakub Gierszal,Maja Ostaszewska,Zofia Jastrzebska",29 mai 2024,Un meurtre horrible sur une plage de la Tricité dévoile un monde criminel insoupçonné et met à l'épreuve le courage d'un procureur et d'une mère éplorée en quête de réponses.,111,"Policier,Drame,Thriller",-, Pologne,,Adrian Panek,"3,0",,Les Couleurs du mal : Rouge,Kolory zla. Czerwien
"Ryan Gosling,Rachel McAdams,James Garner",8 septembre 2004,"Atteinte de la maladie d'Alzheimer, Allie vit en maison de retraite. Chaque jour, Noah lui lit le même livre. Il s'agit du carnet où Allie a consigné sa propre histoire, lorsqu'elle a appris sa maladie. Pour ne pas oublier ses sentiments, elle a écrit, et Noah, inlassablement, lui relit ses propres mots.",121,"Drame,Romance",-, U.S.A.,,Nick Cassavetes,"2,6","4,2",N'oublie jamais,The Notebook
"Michel Serrault,Isabelle Adjani,Guy Marchand",9 mars 1983,"L'Oeil est un détective privé chargé d'enquêter sur une certaine Lucie Brentano, une aventurière qui fréquente un fils de bonne famille. Très vite, L'Oeil a la preuve que la jeune femme est une meurtrière, mais il ne la dénonce pas car il croit ou veut reconnaître en elle Marie, sa propre fille qu'il n'a pas revue depuis que sa femme l'a quitté, il y a vingt ans. Il se met donc à suivre la meurtrière à travers l'Europe.",120,"Drame,Thriller",-, France,,Claude Miller,"3,2",,Mortelle randonnée,
"Jason Statham,Emmy Raver-Lampman,Josh Hutcherson",16 mai 2024,"La vengeance d'un homme prend une dimension nationale après qu'il se soit révélé être un ancien agent d'une puissante organisation clandestine connue sous le nom de ""Beekeepers"".",105,"Action,Thriller",-, U.S.A.,,David Ayer,"3,0",,The Beekeeper,
"Franck Dubosc,Karin Viard,Clotilde Courau",27 septembre 2023,"Amoureux de Diane comme au premier jour, Alain traverse la cinquantaine sans crise. Même le départ des enfants, il l’a bien vécu. Diane moins.… Cette période, elle l’entame avec la sensation qu’elle pourrait mourir d’ennui ou d’angoisse. Pour Alain, qui voit pour la première fois son couple vaciller, il est temps de se poser les questions essentielles, et de prendre un risque majeur après 30 ans de vie commune : quitter Diane pour réveiller la flamme et l’envie de se retrouver. Nouveau Départ, c’est l’histoire d’une histoire d’amour à quitte ou double.",97,"Comédie,Romance",-, France,,Philippe Lefebvre,"3,3","3,2",Nouveau départ,
"Kate Bosworth,Thomas Kretschmann,Lucien Laviscount",12 juin 2024,"Sur une base militaire isolée au bord d'un vaste océan, deux soldats attendent la fin de leur service de deux ans. Lorsqu'il y a un retard et que le navire tant attendu arrive vide, la tension entre eux commence à monter, et la situation devient incontrôlable...",117,"Drame,Science Fiction,Thriller",Long métrage," Grande-Bretagne, Allemagne, Estonie",,Tanel Toom,"2,3",,Sentinel,Last Sentinel
"Agnès Jaoui,William Lebghil,Salif Cissé",6 mars 2024,"Pierre, 33 ans, fleuriste à succès, voit sa vie basculer lorsque sa mère, Judith, fantasque et excessive, débarque dans sa vie après deux ans sans se voir. Pierre n’a qu’une idée, reprendre le cours normal de sa vie, mais rien ne se passe comme prévu. Leurs retrouvailles, aussi inattendues qu’explosives, vont transformer Pierre et Judith à jamais.",103,Comédie dramatique,-, France,Tout public,Julien Carpentier,"3,7","3,9",La Vie de ma mère,
"Eric Judor,Célia Rosich,Michel Nabokov",10 mai 2017,"Jeanne et Victor sont deux jeunes Parisiens de retour de vacances. En chemin, ils font une halte pour saluer leur ami Jean-Paul, sur la prairie où sa communauté a élu résidence. Le groupe lutte contre la construction d’un parc aquatique sur la dernière zone humide de la région, et plus généralement contre la société moderne, la grande Babylone. Séduits par une communauté qui prône le « vivre autrement », où l’individualisme, la technologie et les distinctions de genre sont abolis, Jeanne et Victor acceptent l’invitation qui leur est faite de rester quelques jours. Lorsqu’un beau matin la barrière de CRS qui leur fait face a disparu…la Communauté pense l’avoir emporté sur le monde moderne. Mais le plaisir est de courte durée…à l’exception de leur campement, la population terrestre a été décimée par une terrible pandémie. Ce qui fait du groupe les derniers survivants du monde. Va-t-il falloir se trouver de nouveaux ennemis pour survivre ?",85,Comédie,-, France,,Eric Judor,"3,3","2,8",Problemos,
"Georgina Campbell,Bill Skarsgård,Justin Long",26 octobre 2022,"Se rendant à Détroit pour un entretien d'embauche, Tess se retrouve à louer un « Airbnb » le temps de son séjour. Mais lorsqu'elle arrive tard dans la nuit, elle découvre que la demeure est déjà occupée et qu’un homme étrange du nom de Keith y séjourne déjà... Malgré la gêne, elle décide résignée d'y passer la nuit, les hôtels des environs étant complets. Mais réveillée dans son sommeil par des sons mystérieux, Tess va s’embarquer malgré elle dans une série de découvertes terrifiantes...",103,"Epouvante-horreur,Thriller",-, U.S.A.,,Zach Cregger,"4,2","3,3",Barbare,Barbarian
