title,titre original,score_presse,score_spectateur,genre,annee,duree,description,acteurs,realisateur,pays_d_origine,nombre_de_saisons,nombre_d_episodes
"
F.B.I. ",,"3,6",,"Action,Policier,Drame","
Depuis 2018
","
42 min
","Les agents spéciaux de la branche new-yorkaise du FBI usent de tous leurs talents et leur expertise pour assurer la protection de la ville et du pays. Les membres de cette unité d'élite combattent aussi bien le terrorisme, le crime organisé que le contre-espionnage.","Missy Peregrym,Missy Peregrym,Zeeko Zaki","Craig Turk,Dick Wolf", U.S.A.,7 Saisons,113 Episodes
"
Le trône de fer ",,"4,1","4,6","Drame,Fantastique","
2011 - 2019
","
52 min
","Il y a très longtemps, à une époque oubliée, une force a détruit l'équilibre des saisons. Dans un pays où l'été peut durer plusieurs années et l'hiver toute une vie, des forces sinistres et surnaturelles se pressent aux portes du Royaume des Sept Couronnes. La confrérie de la Garde de Nuit, protégeant le Royaume de toute créature pouvant provenir d'au-delà du Mur protecteur, n'a plus les ressources nécessaires pour assurer la sécurité de tous. Après un été de dix années, un hiver rigoureux s'abat sur le Royaume avec la promesse d'un avenir des plus sombres. Pendant ce temps, complots et rivalités se jouent sur le continent pour s'emparer du Trône de Fer, le symbole du pouvoir absolu.","Kit Harington,Emilia Clarke,Lena Headey","D.B. Weiss,David Benioff", U.S.A.,8 Saisons,73 Episodes
"
True Detective ",,"3,8","4,4","Policier,Drame,Thriller","
Depuis 2014
","
55 min
","A chaque saison, son histoire. , nous embarque dans des récits policiers mêlant mysticisme, réflexions philosophiques et personnages torturés. , La traque d'un tueur en série amorcée en 1995, à travers les enquêtes croisées et complémentaires de deux détectives, Rust Cohle et Martin Hart., Après la découverte d'un corps recouvert d'étranges scarifications, trois officiers de la police de différentes branches se retrouvent mêlés à une affaire bien plus sombre que prévu., En Arkansas, en 1980, la police est mobilisée suite à la disparition de deux enfants. En apparence banale, l'enquête se révèle longue et très complexe. Trois temporalités permettent d'éclairer ce même mystère..., - Les détectives Danvers et Navarro enquêtent sur la disparition de 8 hommes qui travaillent sur la station de recherche arctique de Tsalal.","Jodie Foster,Kali Reis,Fiona Shaw",Nic Pizzolatto, U.S.A.,5 Saisons,36 Episodes
"
Un Si Grand Soleil ",,"2,8","1,7","Drame,Feuilleton","
Depuis 2018
","
26 min
","Claire revient à Montpellier après dix sept ans d’absence, afin de faire découvrir à Théo, son fils adolescent, sa ville natale. Quelques heures plus tard, elle est en garde à vue, accusée du meurtre d’un ami d’enfance. Pour se disculper, Claire n’aura d’autre choix que de percer tous les secrets du passé, notamment celui de la mort de sa sœur Angèle…,Tout en se confrontant à Manu, chargé d’enquêter sur le meurtre dont elle est accusée, elle retrouvera également Julien, sa passion de jeunesse, qui a entre-temps fondé une famille. Assumera-t-elle les sentiments qu’elle ressent tour à tour pour les deux hommes ?","Fred Bianconi,Melanie Maudran,Yvon Back","Olivier Szulzynger,Eline Le Fur,Cristina Arellano", France,6 Saisons,1433 Episodes
"
From ",,"4,1",,"Epouvante-horreur,Science Fiction","
Depuis 2022
","
60 min
","Une ville cauchemardesque du centre des Etats-Unis piège tous ceux qui y entrent. Alors que les habitants, malgré eux, se battent pour conserver un sentiment de normalité et cherchent une issue, ils doivent également survivre aux menaces de la forêt environnante, notamment aux créatures terrifiantes qui sortent lorsque le soleil se couche.","Harold Perrineau,Catalina Sandino Moreno,Eion Bailey",John Griffin (IV), U.S.A.,2 Saisons,30 Episodes
"
Sweet Tooth ",,"3,3","3,9","Aventure,Fantastique,Science Fiction","
2021 - 2024
","
50 min
","Plusieurs années après les mutations provoquées par le ""Grand Effondrement"", un hybride mi-garçon, mi-cerf se lie d'amitié, contre toute attente, avec un marginal solitaire. Ensemble, ils s'engagent dans une aventure extraordinaire à travers une planète ravagée – et dangereuse – en se demandant si la notion de foyer a encore un sens.","Christian Convery,Nonso Anozie,Adeel Akhtar","Jim Mickle,Beth Schwartz", U.S.A.,3 Saisons,24 Episodes
"
Demain nous appartient ",,"3,2","2,1","Drame,Thriller","
Depuis 2017
","
30 min
","Le quotidien à Sète, dans le Sud de la France, des familles Delcourt, Vallorta, Lazzari, Beddiar, et Moreno, entre histoires d'amour, trahisons, scandales, affaires policières, traques de tueurs en série, et amitiés mises à rude épreuve.","Ingrid Chauvin,Alexandre Brasseur,Samy Gharbi","Frédéric Chansel,Laure de Colbert,Nicolas Durand-Zouky", France,7 Saisons,1728 Episodes
"
Pour Marnie ",Best Interests,,,Drame,"
2023
","
58 min
","Nicci et Andrew forment un couple très amoureux et protecteur de leurs deux filles : Katie et Marnie. Malheureusement, Marnie est atteinte d’une maladie dégénérative incurable. Une énième crise la laisse dans un état végétatif, et les médecins préconisent de la ""laisser partir"". Sa famille commence à se déchirer autour de la décision à prendre… pour le meilleur intérêt de Marnie.","Sharon Horgan,Michael Sheen,Alison Oliver",Jack Thorne, Grande-Bretagne,1 Saison,4 Episodes
"
Ici Tout Commence ",,"3,1","3,0",Feuilleton,"
Depuis 2020
","
26 min
","L’institut Auguste Armand est l’une des meilleures écoles de cuisine de France. Excellence, rigueur et discipline sont de mise dans cet établissement géré par une équipe de professionnels talentueux, reconnus et respectés. Un lieu clos qui va être le théâtre d’histoires d’amour contrariées et complexes, mais aussi de rivalités et de trahisons. Mais pour Maxime Delcourt et le reste des élèves de cette école prestigieuse, l'objectif est clair : devenir les futurs chefs étoilés de la gastronomie française. Et rien n’entachera leur motivation.","Vanessa Demouy,Elsa Lunghini,Frédéric Diefenthal","Coline Assous,Eric Fuhrer,Othman Mahfoud", France,4 Saisons,967 Episodes
"
La Doc et le Véto ",,"3,3",,Drame,"
2021 - 2024
","
90 min
","A Valerande-les-Chantelles, un village auvergnat, l’installation d’un médecin en plein désert médical marque le sursaut d’un territoire délaissé que ses habitants quittent peu à peu. Mais la jeune diplômée, parisienne et ambitieuse, est contrainte de partager le cabinet du vétérinaire local, enfant du pays revenu depuis peu après une carrière citadine et un divorce. A ses côtés, elle va découvrir la dure réalité d’une France oubliée.","Michel Cymes,Michel Cymes,Dounia Coesens","Sylvianne Corgiat,Bruno Lecigne,Alysse Hallali", France,1 Saison,6 Episodes
