acteurs,annee,description,duree,genre,nombreDeSaisons,nombreEpisodes,paysOrigine,realisateur,scorePresse,scoreSpectateur,title,titreOriginal
"Alan Ritchson,Maria Sten,Serinda Swan",Depuis 2022,"Ancienne recrue de l'armée américaine, Jack Reacher s'est retiré de la police militaire. Son voyage à travers le pays l'amène à s'impliquer dans de périlleuses enquêtes.",60 min,"Action,Policier,Thriller",3 Saisons,24 Episodes, U.S.A.,Nick Santora,"3,2","4,0",Reacher,
"Ariane Labed,Suzy Bemba,Anne Alvaro",Depuis 2021,"A l’Opéra de Paris, Zoé, danseuse étoile de 35 ans à la carrière fulgurante, vit aujourd’hui dans l’excès : trop de fêtes, d’amants, d’angoisses… Parce qu’elle n’a plus le niveau, on veut la renvoyer, mais Zoé va se battre contre l’institution, ses pairs et surtout contre elle-même pour décrocher une seconde chance. A ses côtés, Flora, 19 ans, une jeune danseuse noire, vient de rejoindre le corps de ballet et n’a que quelques mois pour s’intégrer et faire ses preuves. Et Sébastien, 38 ans, le tout nouveau Directeur de la Danse, flamboyant et ambitieux, qui veut faire briller l’Opéra au firmament de la danse mondiale…",52 min,Drame,2 Saisons,16 Episodes, France,"Cécile Ducrocq,Benjamin Adam","3,4","3,8",L’Opéra,
"Chandra Wilson,Ellen Pompeo,Chandra Wilson",Depuis 2005,"Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage...",42 min,"Drame,Médical",21 Saisons,435 Episodes, U.S.A.,Shonda Rhimes,"3,2","3,9",Grey's Anatomy,
"Mathieu Kassovitz,Mathieu Kassovitz,Sara Giraudeau",2015 - 2020,"Au sein de la DGSE (Direction Générale de la Sécurité Extérieure), un département appelé le Bureau des légendes (BDL) pilote à distance les agents les plus importants des services de renseignements français : les clandestins. En immersion dans des pays hostiles, leur mission consiste à repérer les personnes susceptibles d'être recrutées comme source de renseignements. Opérant dans l'ombre ""sous légende"", c'est-à-dire sous une identité fabriquée de toutes pièces, ils vivent durant de longues années dans une duplicité permanente.,De retour d'une mission clandestine de six années à Damas, notre héros - plus connu sous le nom de code Malotru - est promu au sein du BDL et reprend peu à peu pied dans sa vraie vie. Mais contrairement à toute procédure de sécurité, il semble ne pas abandonner sa légende et l'identité sous laquelle il vivait en Syrie...",52 min,"Drame,Espionnage",5 Saisons,50 Episodes, France,Eric Rochant,"3,3","4,4",Le Bureau des Légendes,
"Adam Scott,Zach Cherry,Britt Lower",Depuis 2022,"Mark Scout travaille pour Lumon Industries, où il dirige une équipe dont les employés subissent une opération chirurgicale de séparation entre leurs souvenirs liés à leur vie professionnelle et ceux liés à leur vie privée. Cette expérience risquée de l’équilibre entre travail et vie personnelle est remise en cause lorsque Mark se retrouve au cœur d’un mystère qui le forcera à affronter la vraie nature de son travail… et la sienne.",60 min,"Drame,Thriller",2 Saisons,18 Episodes, U.S.A.,Dan Erickson,"4,0","4,4",Severance,
"Shemar Moore,Shemar Moore,Jay Harrington",2017 - 2024,"Un lieutenant du S.W.A.T est tiraillé entre sa loyauté envers ses origines modestes, dont ses amis de la rue avec qui il a grandi et qui n'ont pas aussi bien tourné que lui, et son devoir envers ses co-équipiers...,Une dualité qui finit par prendre tout son sens lorsqu'il se voit chargé d'organiser une unité hautement qualifiée pour protéger les citoyens de Los Angeles., de la série ""Section 4"" (1975-1976) avec Steve Forrest et Robert Urich.",42 min,"Action,Policier,Drame",8 Saisons,141 Episodes, U.S.A.,"Shawn Ryan,Aaron Rahsaan Thomas","2,6","3,8",S.W.A.T. (2017),
"Jean Dujardin,Charlotte Gainsbourg,Nicole Garcia",Depuis 2023,"Renouant avec un père qu’il connaissait à peine, Alphonse, un quadragénaire en pleine déroute professionnelle et conjugale, se découvre une surprenante vocation. Sa trajectoire va alors croiser celle d’une galaxie de femmes plus passionnantes et excentriques les unes que les autres, le plongeant au cœur d’une histoire à la fois périlleuse, transgressive et pleine de tendresse.",50 min,"Comédie,Drame,Romance",1 Saison,6 Episodes, France,Nicolas Bedos,"4,2",,Alphonse,
"Anthony Bajon,Melvin Boomer,Andranic Manet",2022,"Le monde de demain raconte la naissance du mouvement hip-hop français dans les années 1980, à travers la naissance du groupe mythique NTM, et de la danseuse et graffeuse Lady V, le parcours du DJ pionnier Dee Nasty et de sa compagne Béatrice jeune Parisienne rebelle et frondeuse. Réalisée par Katell Quillévéré et Hélier Cisterne, une saga joyeuse, rebelle et explosive aux personnages attachants, qui embrasse la révolution culturelle d’une jeunesse en quête de reconnaissance.",52 min,"Biopic,Musical",1 Saison,6 Episodes, France,"Katell Quillévéré,Hélier Cisterne,David Elkaïm","4,4","4,1",Le Monde de demain,
"Michiel Huisman,Carla Gugino,Elizabeth Reaser",2018,"Plusieurs frères et sœurs qui, enfants, ont grandi dans la demeure qui allait devenir la maison hantée la plus célèbre des États-Unis sont contraints de se retrouver pour faire face à cette tragédie ensemble. La famille doit enfin affronter les fantômes de son passé, dont certains sont encore bien présents dans leurs esprits alors que d’autres continuent de traquer Hill House.",60 min,"Drame,Epouvante-horreur",1 Saison,10 Episodes, U.S.A.,Mike Flanagan,"4,1","4,4",The Haunting of Hill House,
"Bailee Madison,Chandler Kinney, Zaria",Depuis 2022,"Reboot de la série ""Pretty Little Liars"" (2010-2017)., ,Il y a vingt ans, une série d'événements tragiques a failli déchirer la ville ouvrière de Millwood. Aujourd'hui, un groupe d'adolescentes se retrouve tourmenté par un harceleur inconnu et doit payer pour le péché secret commis par leurs parents il y a vingt ans... ainsi que pour le leur., ",60 min,Drame,2 Saisons,20 Episodes, U.S.A.,"Roberto Aguirre-Sacasa,Lindsay Calhoon Bring","4,0","3,2",Pretty Little Liars: Original Sin,
